#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_750-1300_4mm
#  Total number of transitions   =     1380
#  Number of written transitions =      624
#  Plasma temperature (eV)       =     4.0000E+02
#  Mass density (g/cm3)          =     1.0902E-01
#  Cell areal density (g/cm2)    =     4.3607E-02
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  6.676E+10  2.778E-05  2.422E-02
       2      1      4      1      2      1      52     4.9234E+02  6.506E+11  6.324E+01  7.447E-02
       4      1      6      1      5      1      52     1.0651E+02  2.086E+11  1.582E-01  7.876E+01
       6      1      7      1      6      1      52     6.8034E+01  3.227E+10  2.206E-02  9.470E+01
       7      1      9      1      8      1      52     3.8672E+01  8.946E+09  5.253E-01  2.887E+01
       9      1     10      1      9      1      52     3.4641E+01  7.947E+09  1.439E-01  3.148E+01
      11      1     11      1     10      1      52     9.4480E+00  3.076E+07  5.393E-02  8.635E+00
      13      1     12      1      9      1      52     8.3242E+02  5.483E+14  1.000E-30  4.505E+01
      14      1     13      1      8      1      52     8.9349E+02  1.675E+14  1.314E+00  2.756E+01
      16      1     13      1     10      1      52     8.2018E+02  1.451E+14  1.000E-30  1.575E+01
      17      1     13      1     12      1      52     2.2396E+01  1.617E+09  1.308E+00  1.693E+01
      19      1     14      1      9      1      52     8.6975E+02  4.880E+14  7.384E-01  3.779E+01
      21      1     14      1     11      1      52     8.2566E+02  3.461E+13  1.000E-30  3.197E+00
      23      1     14      1     13      1      52     1.4925E+01  6.646E+08  2.581E-01  2.056E+01
      25      1     15      1     10      1      52     8.3968E+02  4.113E+14  2.402E+00  1.309E+01
      28      1     15      1     14      1      52     4.5752E+00  5.290E+06  1.717E-01  4.691E+00
      30      1     16      1     11      1      52     8.3260E+02  3.418E+14  6.149E+00  6.097E+00
      32      1     16      1     15      1      52     2.3647E+00  2.424E+05  8.723E-02  1.995E+00
      34      1     17      1      9      1      52     1.3019E+03  4.602E+14  1.000E-30  4.520E+01
      36      1     17      1     13      1      52     4.4709E+02  1.166E+14  1.000E-30  2.822E+01
      38      1     18      1      8      1      52     1.3534E+03  2.371E+14  5.985E-01  1.643E+01
      40      1     18      1     10      1      52     1.2800E+03  1.124E+14  1.000E-30  9.102E+00
      41      1     18      1     12      1      52     4.8226E+02  1.954E+13  2.424E+00  1.637E+01
      43      1     18      1     14      1      52     4.4493E+02  3.894E+13  1.000E-30  1.007E+01
      45      1     18      1     17      1      52     1.2770E+01  2.318E+08  2.609E+00  1.018E+01
      47      1     19      1      9      1      52     1.3234E+03  6.759E+14  1.731E-01  4.094E+01
      49      1     19      1     11      1      52     1.2793E+03  2.288E+13  1.000E-30  4.527E+00
