#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_750-1300_4mm
#  Total number of transitions   =     1380
#  Number of written transitions =      624
#  Plasma temperature (eV)       =     1.0000E+02
#  Mass density (g/cm3)          =     2.1803E-01
#  Cell areal density (g/cm2)    =     8.7214E-02
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.0000E+00
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  1.335E+11  5.424E-05  4.058E-02
       2      1      4      1      2      1      52     4.9234E+02  2.300E+12  1.342E+02  6.583E-02
       4      1      6      1      5      1      52     1.0651E+02  3.593E+11  3.158E-01  7.889E+01
       6      1      7      1      6      1      52     6.8034E+01  6.263E+10  4.406E-02  9.481E+01
       7      1      9      1      8      1      52     3.8672E+01  1.304E+10  1.034E+00  2.933E+01
       9      1     10      1      9      1      52     3.4641E+01  1.386E+10  2.840E-01  3.189E+01
      11      1     11      1     10      1      52     9.4480E+00  5.785E+07  1.037E-01  8.970E+00
      13      1     12      1      9      1      52     8.3242E+02  1.097E+15  1.000E-30  4.580E+01
      14      1     13      1      8      1      52     8.9349E+02  2.185E+14  2.554E+00  2.831E+01
      16      1     13      1     10      1      52     8.2018E+02  2.902E+14  1.000E-30  1.646E+01
      17      1     13      1     12      1      52     2.2396E+01  2.175E+09  2.434E+00  1.809E+01
      19      1     14      1      9      1      52     8.6975E+02  6.743E+14  1.448E+00  3.848E+01
      21      1     14      1     11      1      52     8.2566E+02  6.922E+13  1.000E-30  3.805E+00
      23      1     14      1     13      1      52     1.4925E+01  1.108E+09  4.884E-01  2.165E+01
      25      1     15      1     10      1      52     8.3968E+02  5.222E+14  4.578E+00  1.366E+01
      28      1     15      1     14      1      52     4.5752E+00  9.502E+06  2.838E-01  5.648E+00
      30      1     16      1     11      1      52     8.3260E+02  4.695E+14  1.136E+01  6.517E+00
      32      1     16      1     15      1      52     2.3647E+00  4.885E+05  1.217E-01  2.765E+00
