#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_20-200ev_1e18-1e21_4mm
#  Total number of transitions   =     1890
#  Number of written transitions =      783
#  Plasma temperature (eV)       =     6.0000E+01
#  Mass density (g/cm3)          =     3.3649E-04
#  Cell areal density (g/cm2)    =     1.3459E-04
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.3000E-02    9.8700E-01
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  1.302E+08  4.142E-10  6.335E-03
       2      1      4      1      2      1      52     4.9234E+02  2.539E+10  3.548E-01  2.595E-02
       4      1      6      1      5      1      52     1.0651E+02  4.954E+08  3.086E-04  7.871E+01
       6      1      7      1      6      1      52     6.8034E+01  6.494E+07  4.303E-05  9.466E+01
       7      1      9      1      8      1      52     3.8672E+01  2.883E+07  1.030E-03  2.871E+01
       9      1     10      1      9      1      52     3.4641E+01  1.858E+07  2.818E-04  3.134E+01
      11      1     11      1     10      1      52     9.4480E+00  6.462E+04  1.065E-04  8.524E+00
      13      1     12      1      9      1      52     8.3242E+02  1.069E+12  1.000E-30  4.471E+01
      14      1     13      1      8      1      52     8.9349E+02  8.480E+11  2.594E-03  2.722E+01
      16      1     13      1     10      1      52     8.2018E+02  2.829E+11  1.000E-30  1.543E+01
      17      1     13      1     12      1      52     2.2396E+01  8.169E+06  2.611E-03  1.655E+01
      19      1     14      1      9      1      52     8.6975E+02  1.813E+12  1.454E-03  3.748E+01
      21      1     14      1     11      1      52     8.2566E+02  6.749E+10  1.000E-30  2.911E+00
      23      1     14      1     13      1      52     1.4925E+01  1.741E+06  5.122E-04  2.020E+01
      25      1     15      1     10      1      52     8.3968E+02  3.055E+12  4.797E-03  1.281E+01
      28      1     15      1     14      1      52     4.5752E+00  1.274E+04  3.605E-04  4.375E+00
      30      1     16      1     11      1      52     8.3260E+02  4.912E+12  1.250E-02  5.871E+00
      32      1     16      1     15      1      52     2.3647E+00  5.311E+02  1.954E-04  1.741E+00
      34      1     17      1      9      1      52     1.3019E+03  8.973E+11  1.000E-30  4.461E+01
      36      1     17      1     13      1      52     4.4709E+02  2.274E+11  1.000E-30  2.759E+01
      38      1     18      1      8      1      52     1.3534E+03  8.029E+11  1.213E-03  1.584E+01
      40      1     18      1     10      1      52     1.2800E+03  2.192E+11  1.000E-30  8.535E+00
      41      1     18      1     12      1      52     4.8226E+02  1.460E+11  4.925E-03  1.574E+01
      43      1     18      1     14      1      52     4.4493E+02  7.593E+10  1.000E-30  9.462E+00
      45      1     18      1     17      1      52     1.2770E+01  1.815E+06  5.554E-03  9.375E+00
      47      1     19      1      9      1      52     1.3234E+03  1.631E+12  3.440E-04  4.039E+01
      49      1     19      1     11      1      52     1.2793E+03  4.461E+10  1.000E-30  4.000E+00
      51      1     19      1     13      1      52     4.6860E+02  2.833E+11  2.332E-03  2.337E+01
      53      1     19      1     15      1      52     4.4910E+02  2.773E+10  1.000E-30  1.754E+00
      56      1     19      1     18      1      52     8.7378E+00  4.522E+05  1.147E-03  1.168E+01
      58      1     20      1     10      1      52     1.2912E+03  2.351E+12  8.972E-04  1.444E+01
      61      1     20      1     14      1      52     4.5609E+02  4.565E+11  9.145E-03  6.321E+00
