#  File format type:   4
#
#  SPECT3D transition powers file.
#  RUN NAME:  xe_20-200ev_1e18-1e21_4mm
#  Total number of transitions   =     1890
#  Number of written transitions =      888
#  Plasma temperature (eV)       =     2.0000E+01
#  Mass density (g/cm3)          =     4.4865E-05
#  Cell areal density (g/cm2)    =     1.7946E-05
#  Material mass fractions       =     1.0000E+00
#  DCA material number fractions =     1.3000E-02    9.8700E-01
# -----------------------------------------------------
#
#
#   Trans.  Trans  Upper  Upper  Lower  Lower   Ioniz   Energy     Line Power Line Center Line Width
#   Index   Model  Level  Model  Level  Model   Stage   (eV)       (W/cm2)    Opt. Depth      eV
# --------------------------------------------------------------------------------------------------
       1      1      3      1      2      1      52     1.1982E+02  1.736E+07  1.287E-11  3.623E-03
       2      1      4      1      2      1      52     4.9234E+02  4.430E+09  8.155E-02  1.506E-02
       4      1      6      1      5      1      52     1.0651E+02  6.605E+07  4.115E-05  7.871E+01
       6      1      7      1      6      1      52     6.8034E+01  8.659E+06  5.737E-06  9.466E+01
       7      1      9      1      8      1      52     3.8672E+01  3.847E+06  1.373E-04  2.871E+01
       9      1     10      1      9      1      52     3.4641E+01  2.478E+06  3.757E-05  3.134E+01
      11      1     11      1     10      1      52     9.4480E+00  8.616E+03  1.420E-05  8.523E+00
      13      1     12      1      9      1      52     8.3242E+02  1.426E+11  1.000E-30  4.469E+01
      14      1     13      1      8      1      52     8.9349E+02  1.134E+11  3.462E-04  2.720E+01
      16      1     13      1     10      1      52     8.2018E+02  3.772E+10  1.000E-30  1.541E+01
      17      1     13      1     12      1      52     2.2396E+01  1.092E+06  3.482E-04  1.654E+01
      19      1     14      1      9      1      52     8.6975E+02  2.420E+11  1.940E-04  3.746E+01
      21      1     14      1     11      1      52     8.2566E+02  8.999E+09  1.000E-30  2.891E+00
      23      1     14      1     13      1      52     1.4925E+01  2.322E+05  6.831E-05  2.020E+01
      25      1     15      1     10      1      52     8.3968E+02  4.091E+11  6.406E-04  1.279E+01
      28      1     15      1     14      1      52     4.5752E+00  1.699E+03  4.810E-05  4.372E+00
      30      1     16      1     11      1      52     8.3260E+02  6.659E+11  1.672E-03  5.852E+00
      32      1     16      1     15      1      52     2.3647E+00  7.081E+01  2.610E-05  1.738E+00
      34      1     17      1      9      1      52     1.3019E+03  1.196E+11  1.000E-30  4.458E+01
      36      1     17      1     13      1      52     4.4709E+02  3.032E+10  1.000E-30  2.758E+01
      38      1     18      1      8      1      52     1.3534E+03  1.072E+11  1.621E-04  1.581E+01
      40      1     18      1     10      1      52     1.2800E+03  2.922E+10  1.000E-30  8.502E+00
      41      1     18      1     12      1      52     4.8226E+02  1.955E+10  6.574E-04  1.572E+01
      43      1     18      1     14      1      52     4.4493E+02  1.012E+10  1.000E-30  9.446E+00
      45      1     18      1     17      1      52     1.2770E+01  2.438E+05  7.412E-04  9.367E+00
      47      1     19      1      9      1      52     1.3234E+03  2.174E+11  4.591E-05  4.035E+01
      49      1     19      1     11      1      52     1.2793E+03  5.948E+09  1.000E-30  3.968E+00
      51      1     19      1     13      1      52     4.6860E+02  3.785E+10  3.112E-04  2.335E+01
      53      1     19      1     15      1      52     4.4910E+02  3.698E+09  1.000E-30  1.739E+00
      56      1     19      1     18      1      52     8.7378E+00  6.036E+04  1.531E-04  1.168E+01
      58      1     20      1     10      1      52     1.2912E+03  3.137E+11  1.199E-04  1.440E+01
      61      1     20      1     14      1      52     4.5609E+02  6.161E+10  1.222E-03  6.306E+00
